Filters: categories=['quant', 'trading', 'structuring'], summer_only=True, min_year=2027, location=60 region kw
  323 Trading                     2 jobs →  0 match,  0 new
  3Red Partners                   6 jobs →  0 match,  0 new
  Acadian Asset Management       31 jobs →  0 match,  0 new
  Accent Group                    8 jobs →  0 match,  0 new
  ACT Group                       5 jobs →  0 match,  0 new
  Akuna Capital                  36 jobs →  0 match,  0 new
  Algorithmic Trading Group      13 jobs →  0 match,  0 new
  All Options                    16 jobs →  0 match,  0 new
  AlphaGrep                      30 jobs →  0 match,  0 new
  Amber Group                     6 jobs →  0 match,  0 new
  Amplify Trading                40 jobs →  0 match,  0 new
  Ansatz Capital                  5 jobs →  0 match,  0 new
  AQR Capital Management         34 jobs →  0 match,  0 new
  Aquatic                         9 jobs →  1 match,  0 new
  Arrowstreet Capital            10 jobs →  0 match,  0 new
  B2C2                           44 jobs →  0 match,  0 new
  Balyasny Asset Management      99 jobs →  0 match,  0 new
  Barak Capital                  29 jobs →  0 match,  0 new
  Belvedere Trading              10 jobs →  0 match,  0 new
  Black Eagle Financial Group    35 jobs →  0 match,  0 new
  BlackEdge Capital               5 jobs →  0 match,  0 new
  BlockTech                      24 jobs →  0 match,  0 new
  Bondi Tech                     13 jobs →  0 match,  0 new
  Chicago Trading Company        19 jobs →  0 match,  0 new
  Chimera Securities              0 jobs →  0 match,  0 new
  Clear Street                   31 jobs →  0 match,  0 new
  Consolidated Trading            3 jobs →  0 match,  0 new
  Cross Options                   6 jobs →  0 match,  0 new
  D. E. Shaw                     35 jobs →  0 match,  0 new
  D2X                            11 jobs →  0 match,  0 new
  Da Vinci Trading               11 jobs →  1 match,  0 new
  Deep Blue Capital              10 jobs →  0 match,  0 new
  DRW                            31 jobs →  0 match,  0 new
  DV Trading                     58 jobs →  0 match,  0 new
  DWF Labs                       26 jobs →  0 match,  0 new
  Eagle Seven                    12 jobs →  0 match,  0 new
  Eclipse Trading                 8 jobs →  0 match,  0 new
  Epoch Capital                  15 jobs →  0 match,  0 new
  Five Rings                     19 jobs →  0 match,  0 new
  Flow Traders                   37 jobs →  0 match,  0 new
  G-Research                     29 jobs →  0 match,  0 new
  Gelber Group                   18 jobs →  0 match,  0 new
  Geneva Trading                 14 jobs →  0 match,  0 new
  Genk Capital                   14 jobs →  0 match,  0 new
  Grasshopper                    11 jobs →  0 match,  0 new
  Graviton Research Capital      13 jobs →  0 match,  0 new
  Gravity Team                   15 jobs →  0 match,  0 new
  Great Point Capital             9 jobs →  0 match,  0 new
  GSR                            32 jobs →  0 match,  0 new
  Headlands Technology            7 jobs →  0 match,  0 new
  Hudson River Trading            3 jobs →  0 match,  0 new
  IMC Trading                    36 jobs →  0 match,  0 new
  Jane Street                    32 jobs →  0 match,  0 new
  Jerpoint Capital                4 jobs →  0 match,  0 new
  Jump Trading                   97 jobs →  3 match,  0 new
  Kershner Trading Group          3 jobs →  0 match,  0 new
  KeyQuant                       13 jobs →  0 match,  0 new
  Keyrock                         7 jobs →  0 match,  0 new
  Kronos Research                 3 jobs →  0 match,  0 new
  League Trading                  6 jobs →  0 match,  0 new
  Linitics                        6 jobs →  0 match,  0 new
  Mako Trading                    7 jobs →  0 match,  0 new
  Market Wizards                 14 jobs →  0 match,  0 new
  Marquette Partners             10 jobs →  0 match,  0 new
  Marshall Wace                  27 jobs →  0 match,  0 new
  Mathrix                         9 jobs →  0 match,  0 new
  Matrix Executions              15 jobs →  0 match,  0 new
  Maven Securities               36 jobs →  0 match,  0 new
  Maverick Derivatives           12 jobs →  0 match,  0 new
  Millennium                     27 jobs →  0 match,  0 new
  Nino Options                    8 jobs →  0 match,  0 new
  NK Securities                  17 jobs →  0 match,  0 new
  Northpool                      10 jobs →  0 match,  0 new
  Old Mission Capital            32 jobs →  0 match,  0 new
  ORA Traders                    15 jobs →  0 match,  0 new
